Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(3A,3A,8A)",2,1,"(3A,3A,8B)",2,1
"(3A,4A,6A)",5,1,"(3A,4A,8A)",3,1
"(3A,4A,8B)",3,1,"(3A,4A,5A)",5,1
"(4A,4A,8B)",4,1,"(4A,4A,8A)",4,1
"(4A,4A,6A)",12,1,"(4A,4A,5A)",6,1
"(2A,6A,8A)",3,1,"(2A,6A,8B)",3,1
"(2A,8A,8A)",2,1,"(2A,8B,8B)",2,1
"(2A,4A,11A)",1,1,"(2A,4A,11B)",1,1
"(2A,2A,3A,4A)",1,92,"(2A,2A,4A,4A)",1,168
"(2A,2A,2A,8A)",1,48,"(2A,2A,2A,8B)",1,48
"(2A,5A,8A)",3,1,"(2A,5B,8B)",3,1
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(3A,5A,6A)",7,1,"(3A,6A,6A)",12,1
"(3A,3A,8A)",2,1,"(3A,3A,8B)",2,1
"(3A,4A,5A)",5,1,"(3A,4A,6A)",5,1
"(2A,5A,11A)",1,1,"(2A,5A,11B)",1,1
"(2A,5A,8A)",3,1,"(2A,5A,8B)",3,1
"(2A,6A,11A)",3,1,"(2A,6A,11B)",3,1
"(2A,6A,8A)",3,1,"(2A,6A,8B)",3,1
"(2A,4A,11A)",1,1,"(2A,4A,11B)",1,1
"(2A,3A,3A,3A)",1,63,"(2A,2A,3A,5A)",1,100
"(2A,2A,3A,6A)",1,156,"(2A,2A,3A,4A)",1,92
"(2A,2A,2A,11A)",1,33,"(2A,2A,2A,11B)",1,33
"(2A,2A,2A,8A)",1,48,"(2A,2A,2A,8B)",1,48
"(2A,2A,2A,2A,3A)",1,2376,,,
Rami f icationType,N.Orbit,L.O,Rami f icationType,N.Orbit,L.O
"(4A,8A,8A)",4,1,"(4A,4B,11B)",1,1
"(4A,4B,11A)",1,1,"(4B,4B,8B)",4,1
"(4B,4B,6A)",2,1,"(4B,4B,10A)",2,1
"(4B,6B,8A)",16,1,"(4B,6B,6B)",38,1
"(3B,4B,8A)",5,1,"(3B,4B,6B)",10,1
"(4A,4B,8A)",6,1,"(4A,4B,6B)",8,1
"(3B,4A,4B)",4,1,"(4B,5A,8A)",7,1
"(4B,5A,6B)",14,1,"(3B,4B,5A)",7,1
"(4A,4B,5A)",4,1,"(4B,5A,5A)",3,1
"(3A,8A,8A)",6,1,"(3A,4B,11B)",1,1
"(3A,4B,11A)",1,1,"(3A,4B,8B)",2,1
"(3A,4B,6A)",3,1,"(3A,4B,10A)",3,1
"(3A,6B,8A)",16,1,"(3A,6B,6B)",8,1
"(3A,3A,11A)",1,1,"(3A,3A,11B)",1,1
